epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,90.3385,2.43188,0.89467,1,0.26253,0.00020006,0.00020006,0.00020006
2,168.895,0.42166,0.76933,1,0.57394,0.000393897,0.000393897,0.000393897
3,252.495,0.02674,0.45733,1,1.86712,0.000566513,0.000566513,0.000566513
4,337.994,0.00254,0.36933,1,2.52681,0.000717908,0.000717908,0.000717908
5,423.449,0.00031,0.35333,1,2.90828,0.000848083,0.000848083,0.000848083
6,510.562,0.00011,0.34133,1,3.46736,0.000957037,0.000957037,0.000957037
7,595.102,0.00018,0.33467,1,3.81892,0.00100459,0.00100459,0.00100459
8,680.566,5e-05,0.33467,1,3.87571,0.000933851,0.000933851,0.000933851
9,763.282,5e-05,0.33333,1,3.98342,0.000863116,0.000863116,0.000863116
10,848.067,4e-05,0.33333,1,4.20403,0.00079238,0.00079238,0.00079238
11,932.085,4e-05,0.33333,1,4.36597,0.000721645,0.000721645,0.000721645
12,1016.95,6e-05,0.33333,1,4.03998,0.000650909,0.000650909,0.000650909
13,1101.12,5e-05,0.33333,1,4.27178,0.000580174,0.000580174,0.000580174
14,1186.89,3e-05,0.33333,1,4.26258,0.000509438,0.000509438,0.000509438
15,1272.21,4e-05,0.33333,1,4.19019,0.000438703,0.000438703,0.000438703
16,1357.48,8e-05,0.33333,1,4.46211,0.000367967,0.000367967,0.000367967
17,1441.98,3e-05,0.33333,1,4.42075,0.000297232,0.000297232,0.000297232
18,1519.47,0.00023,0.33333,1,4.43176,0.000226497,0.000226497,0.000226497
19,1606.39,7e-05,0.33333,1,4.25065,0.000155761,0.000155761,0.000155761
20,1694.19,3e-05,0.33333,1,4.08227,8.50255e-05,8.50255e-05,8.50255e-05
