epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,106.915,0.33671,0.93733,1,0.18807,0.000472955,0.000472955,0.000472955
2,200.263,0.13356,0.95333,1,0.15405,0.000930493,0.000930493,0.000930493
3,289.662,0.09871,0.94667,1,0.15352,0.00136917,0.00136917,0.00136917
4,378.723,0.13688,0.94667,1,0.18893,0.00134412,0.00134412,0.00134412
5,464.592,0.13182,0.93867,1,0.21035,0.00131582,0.00131582,0.00131582
6,562.455,0.11688,0.952,1,0.14659,0.00128753,0.00128753,0.00128753
7,651.281,0.11241,0.944,1,0.1395,0.00125923,0.00125923,0.00125923
8,739.391,0.10239,0.95333,1,0.14365,0.00123094,0.00123094,0.00123094
9,824.773,0.10738,0.952,1,0.17489,0.00120265,0.00120265,0.00120265
10,911.976,0.0848,0.956,1,0.184,0.00117435,0.00117435,0.00117435
11,1000.67,0.13456,0.95867,1,0.12069,0.00114606,0.00114606,0.00114606
12,1086.95,0.12755,0.944,1,0.17247,0.00111776,0.00111776,0.00111776
13,1171.58,0.12582,0.95867,1,0.1206,0.00108947,0.00108947,0.00108947
14,1258.25,0.10894,0.96133,1,0.15291,0.00106118,0.00106118,0.00106118
15,1343.63,0.08905,0.96,1,0.1542,0.00103288,0.00103288,0.00103288
16,1429.31,0.0962,0.95733,1,0.12374,0.00100459,0.00100459,0.00100459
17,1515.76,0.07936,0.964,1,0.11348,0.000976293,0.000976293,0.000976293
18,1603.96,0.09254,0.956,1,0.13053,0.000947999,0.000947999,0.000947999
19,1700.54,0.06674,0.96133,1,0.12012,0.000919704,0.000919704,0.000919704
20,1786.76,0.07327,0.944,1,0.16844,0.00089141,0.00089141,0.00089141
21,1876.3,0.07927,0.96,1,0.10647,0.000863116,0.000863116,0.000863116
22,1961.02,0.07383,0.97067,1,0.1035,0.000834822,0.000834822,0.000834822
23,2047.91,0.07443,0.972,1,0.07389,0.000806528,0.000806528,0.000806528
24,2134.15,0.07347,0.94667,1,0.14422,0.000778233,0.000778233,0.000778233
25,2219.9,0.06184,0.97067,1,0.08543,0.000749939,0.000749939,0.000749939
26,2306.03,0.06062,0.96667,1,0.10413,0.000721645,0.000721645,0.000721645
27,2392.66,0.05522,0.96,1,0.13518,0.000693351,0.000693351,0.000693351
28,2480.36,0.05535,0.96267,1,0.097,0.000665057,0.000665057,0.000665057
29,2568.61,0.06731,0.96267,1,0.1153,0.000636762,0.000636762,0.000636762
30,2655.01,0.04349,0.964,1,0.09658,0.000608468,0.000608468,0.000608468
31,2744.05,0.05258,0.97333,1,0.10554,0.000580174,0.000580174,0.000580174
32,2835.31,0.04231,0.972,1,0.10135,0.00055188,0.00055188,0.00055188
33,2919.26,0.04986,0.96933,1,0.10403,0.000523586,0.000523586,0.000523586
34,3002.38,0.04002,0.96267,1,0.12138,0.000495291,0.000495291,0.000495291
35,3085.82,0.0435,0.97067,1,0.11319,0.000466997,0.000466997,0.000466997
36,3170.74,0.03877,0.97333,1,0.09708,0.000438703,0.000438703,0.000438703
37,3262.44,0.03341,0.96933,1,0.0892,0.000410409,0.000410409,0.000410409
38,3352.48,0.04149,0.96933,1,0.09723,0.000382115,0.000382115,0.000382115
39,3439,0.04152,0.972,1,0.09193,0.00035382,0.00035382,0.00035382
40,3525.08,0.04874,0.968,1,0.11781,0.000325526,0.000325526,0.000325526
41,3616.56,0.04354,0.972,1,0.10398,0.000297232,0.000297232,0.000297232
42,3710.3,0.03307,0.97067,1,0.09203,0.000268938,0.000268938,0.000268938
43,3806.93,0.02447,0.97333,1,0.09383,0.000240644,0.000240644,0.000240644
44,3892.29,0.02402,0.96933,1,0.09524,0.000212349,0.000212349,0.000212349
45,3978.73,0.03165,0.976,1,0.09594,0.000184055,0.000184055,0.000184055
46,4073.22,0.03015,0.97467,1,0.09431,0.000155761,0.000155761,0.000155761
47,4159.65,0.02587,0.968,1,0.10464,0.000127467,0.000127467,0.000127467
48,4243.86,0.02179,0.97067,1,0.09015,9.91726e-05,9.91726e-05,9.91726e-05
49,4329.66,0.02348,0.968,1,0.0971,7.08784e-05,7.08784e-05,7.08784e-05
50,4418.89,0.02261,0.976,1,0.08653,4.25842e-05,4.25842e-05,4.25842e-05
