epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,89.3223,1.31626,0.768,1,0.5723,0.000472955,0.000472955,0.000472955
1,88.6175,2.61366,0.90667,1,0.28362,0.000472955,0.000472955,0.000472955
2,176.047,0.36477,0.93067,1,0.18685,0.000902299,0.000902299,0.000902299
3,263.256,0.32355,0.916,1,0.24945,0.00128449,0.00128449,0.00128449
4,348.12,0.27112,0.92667,1,0.18256,0.00121679,0.00121679,0.00121679
5,431.886,0.24633,0.95467,1,0.12643,0.00114606,0.00114606,0.00114606
6,515.938,0.22118,0.96,1,0.12679,0.00107532,0.00107532,0.00107532
7,602.909,0.18972,0.95067,1,0.13789,0.00100459,0.00100459,0.00100459
8,688.129,0.18291,0.952,1,0.13593,0.000933851,0.000933851,0.000933851
9,772.828,0.16812,0.94133,1,0.16238,0.000863116,0.000863116,0.000863116
10,856.432,0.15014,0.95333,1,0.11789,0.00079238,0.00079238,0.00079238
11,940.63,0.13827,0.964,1,0.09716,0.000721645,0.000721645,0.000721645
12,1028.01,0.1301,0.96533,1,0.09497,0.000650909,0.000650909,0.000650909
13,1117.48,0.1355,0.96667,1,0.10376,0.000580174,0.000580174,0.000580174
14,1206.6,0.11495,0.972,1,0.09032,0.000509438,0.000509438,0.000509438
15,1293.41,0.08948,0.964,1,0.12296,0.000438703,0.000438703,0.000438703
16,1380.74,0.09355,0.96933,1,0.09635,0.000367967,0.000367967,0.000367967
17,1466.24,0.08336,0.97067,1,0.09589,0.000297232,0.000297232,0.000297232
18,1552.3,0.07466,0.968,1,0.08772,0.000226497,0.000226497,0.000226497
19,1638.36,0.08596,0.968,1,0.09146,0.000155761,0.000155761,0.000155761
20,1724.33,0.07236,0.968,1,0.08816,8.50255e-05,8.50255e-05,8.50255e-05
