epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,453.759,0.26389,0.95333,1,0.14659,0.000472955,0.000472955,0.000472955
2,926.519,0.19871,0.94267,1,0.16074,0.000902299,0.000902299,0.000902299
3,1408.61,0.21874,0.968,1,0.10443,0.00128449,0.00128449,0.00128449
4,1906.26,0.18925,0.95333,1,0.13304,0.00121679,0.00121679,0.00121679
5,2374.68,0.20815,0.944,1,0.17164,0.00114606,0.00114606,0.00114606
6,2873.74,0.18503,0.96133,1,0.12676,0.00107532,0.00107532,0.00107532
7,3329.16,0.14048,0.964,1,0.10422,0.00100459,0.00100459,0.00100459
8,3800.09,0.12537,0.97467,1,0.07246,0.000933851,0.000933851,0.000933851
9,4260.9,0.10789,0.964,1,0.10763,0.000863116,0.000863116,0.000863116
10,4714.37,0.10926,0.98,1,0.0826,0.00079238,0.00079238,0.00079238
11,5179.41,0.09634,0.96533,1,0.09755,0.000721645,0.000721645,0.000721645
12,5670.79,0.08054,0.96933,1,0.08394,0.000650909,0.000650909,0.000650909
13,6161.79,0.08389,0.96533,1,0.10154,0.000580174,0.000580174,0.000580174
14,6631.44,0.0675,0.97333,1,0.07368,0.000509438,0.000509438,0.000509438
15,7105.88,0.06164,0.97067,1,0.10525,0.000438703,0.000438703,0.000438703
16,7576.75,0.05494,0.97067,1,0.08896,0.000367967,0.000367967,0.000367967
17,8062.23,0.04822,0.98,1,0.07246,0.000297232,0.000297232,0.000297232
18,8540.09,0.05165,0.97733,1,0.07046,0.000226497,0.000226497,0.000226497
19,9012.07,0.04889,0.976,1,0.06956,0.000155761,0.000155761,0.000155761
20,9496.16,0.05172,0.97867,1,0.07115,8.50255e-05,8.50255e-05,8.50255e-05
