epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,86.054,2.51084,0.94,1,0.1724,0.00020006,0.00020006,0.00020006
2,175.614,0.2684,0.91867,1,0.24982,0.000406205,0.000406205,0.000406205
3,266.169,0.00531,0.71333,1,1.10596,0.000603861,0.000603861,0.000603861
4,356.542,0.00167,0.54133,1,2.15453,0.000793029,0.000793029,0.000793029
5,444.54,7e-05,0.468,1,2.75551,0.000973709,0.000973709,0.000973709
6,533.95,3e-05,0.408,1,3.43198,0.0011459,0.0011459,0.0011459
7,622.909,8e-05,0.36533,1,3.98476,0.00125923,0.00125923,0.00125923
8,710.484,5e-05,0.35733,1,4.22635,0.00123094,0.00123094,0.00123094
9,796.505,1e-05,0.356,1,4.29188,0.00120265,0.00120265,0.00120265
10,880.019,4e-05,0.348,1,4.63307,0.00117435,0.00117435,0.00117435
11,964.895,2e-05,0.344,1,4.93797,0.00114606,0.00114606,0.00114606
12,1054.45,2e-05,0.344,1,4.75726,0.00111776,0.00111776,0.00111776
13,1145.88,5e-05,0.344,1,4.76173,0.00108947,0.00108947,0.00108947
14,1245.32,4e-05,0.344,1,4.73239,0.00106118,0.00106118,0.00106118
15,1348.14,1e-05,0.34667,1,4.67931,0.00103288,0.00103288,0.00103288
16,1447.08,1e-05,0.34267,1,4.7125,0.00100459,0.00100459,0.00100459
17,1535.87,1e-05,0.344,1,4.77575,0.000976293,0.000976293,0.000976293
18,1624.1,4e-05,0.344,1,4.67864,0.000947999,0.000947999,0.000947999
19,1716.1,3e-05,0.344,1,4.68826,0.000919704,0.000919704,0.000919704
20,1807.82,1e-05,0.35067,1,4.59099,0.00089141,0.00089141,0.00089141
21,1904,3e-05,0.34667,1,4.62182,0.000863116,0.000863116,0.000863116
22,1993.66,1e-05,0.344,1,4.67566,0.000834822,0.000834822,0.000834822
23,2085.65,1e-05,0.344,1,5.00617,0.000806528,0.000806528,0.000806528
24,2175.93,1e-05,0.35067,1,4.36746,0.000778233,0.000778233,0.000778233
25,2261.6,3e-05,0.34533,1,4.54841,0.000749939,0.000749939,0.000749939
26,2355.72,2e-05,0.344,1,4.7632,0.000721645,0.000721645,0.000721645
27,2456.7,2e-05,0.344,1,4.75773,0.000693351,0.000693351,0.000693351
