epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
28,2543.87,1e-05,0.34267,1,5.07229,0.000665057,0.000665057,0.000665057
29,2636.19,1e-05,0.344,1,4.81568,0.000636762,0.000636762,0.000636762
30,2722.09,1e-05,0.344,1,4.80687,0.000608468,0.000608468,0.000608468
31,2811.27,1e-05,0.344,1,4.80848,0.000580174,0.000580174,0.000580174
32,2904.28,2e-05,0.34133,1,4.98965,0.00055188,0.00055188,0.00055188
33,2995.92,1e-05,0.34267,1,4.81921,0.000523586,0.000523586,0.000523586
34,3095.42,1e-05,0.34267,1,4.86626,0.000495291,0.000495291,0.000495291
35,3186.91,2e-05,0.348,1,4.61564,0.000466997,0.000466997,0.000466997
36,3275.23,0.00045,0.34,1,5.3454,0.000438703,0.000438703,0.000438703
37,3362.71,7e-05,0.34267,1,5.06791,0.000410409,0.000410409,0.000410409
38,3455.45,1e-05,0.344,1,4.94316,0.000382115,0.000382115,0.000382115
39,3553.7,1e-05,0.344,1,4.82458,0.00035382,0.00035382,0.00035382
40,3652.11,1e-05,0.34133,1,4.87931,0.000325526,0.000325526,0.000325526
41,3742.16,2e-05,0.344,1,4.87238,0.000297232,0.000297232,0.000297232
42,3831,1e-05,0.34267,1,4.97566,0.000268938,0.000268938,0.000268938
1,93.1559,0.66205,0.33333,1,1.7068,0.00020006,0.00020006,0.00020006
2,177.967,0.08859,0.33333,1,3.63278,0.000406205,0.000406205,0.000406205
3,262.758,0.0085,0.33333,1,5.79404,0.000603861,0.000603861,0.000603861
4,345.418,0.00106,0.33333,1,6.48603,0.000793029,0.000793029,0.000793029
5,428.132,0.00038,0.33333,1,6.81902,0.000973709,0.000973709,0.000973709
6,510.713,0.00014,0.33333,1,7.16786,0.0011459,0.0011459,0.0011459
7,597.381,9e-05,0.33333,1,7.33831,0.00125923,0.00125923,0.00125923
8,691.408,6e-05,0.33333,1,7.43003,0.00123094,0.00123094,0.00123094
9,783.947,4e-05,0.33333,1,7.55648,0.00120265,0.00120265,0.00120265
10,865.581,4e-05,0.33333,1,7.64536,0.00117435,0.00117435,0.00117435
11,948.329,3e-05,0.33333,1,7.8063,0.00114606,0.00114606,0.00114606
12,1032,3e-05,0.33333,1,7.58469,0.00111776,0.00111776,0.00111776
13,1117.04,4e-05,0.33333,1,7.77261,0.00108947,0.00108947,0.00108947
14,1202.1,3e-05,0.33333,1,7.73794,0.00106118,0.00106118,0.00106118
15,1285.26,3e-05,0.33333,1,7.98465,0.00103288,0.00103288,0.00103288
16,1367.86,3e-05,0.33333,1,7.8261,0.00100459,0.00100459,0.00100459
17,1449.73,3e-05,0.33333,1,7.82394,0.000976293,0.000976293,0.000976293
18,1532.04,2e-05,0.33333,1,7.9449,0.000947999,0.000947999,0.000947999
19,1614.44,2e-05,0.33333,1,7.92929,0.000919704,0.000919704,0.000919704
20,1696.3,3e-05,0.33333,1,7.82581,0.00089141,0.00089141,0.00089141
21,1780.39,3e-05,0.33333,1,7.84839,0.000863116,0.000863116,0.000863116
22,1860.9,3e-05,0.33333,1,7.95827,0.000834822,0.000834822,0.000834822
23,1943.09,3e-05,0.33333,1,7.86899,0.000806528,0.000806528,0.000806528
24,2029.03,4e-05,0.33333,1,7.92549,0.000778233,0.000778233,0.000778233
25,2118.25,3e-05,0.33333,1,7.89873,0.000749939,0.000749939,0.000749939
26,2206.72,2e-05,0.33333,1,7.85239,0.000721645,0.000721645,0.000721645
27,2292.67,3e-05,0.33333,1,7.98544,0.000693351,0.000693351,0.000693351
28,2378.21,2e-05,0.33333,1,7.70189,0.000665057,0.000665057,0.000665057
29,2459.57,3e-05,0.33333,1,7.944,0.000636762,0.000636762,0.000636762
30,2539.53,2e-05,0.33333,1,8.05052,0.000608468,0.000608468,0.000608468
31,2619.62,2e-05,0.33333,1,8.05023,0.000580174,0.000580174,0.000580174
32,2702.09,3e-05,0.33333,1,7.87787,0.00055188,0.00055188,0.00055188
33,2789.57,2e-05,0.33333,1,7.8888,0.000523586,0.000523586,0.000523586
34,2876.47,2e-05,0.33333,1,7.95447,0.000495291,0.000495291,0.000495291
35,2960.26,2e-05,0.33333,1,7.95227,0.000466997,0.000466997,0.000466997
36,3045.22,3e-05,0.33333,1,7.65955,0.000438703,0.000438703,0.000438703
37,3127.73,2e-05,0.33333,1,7.88603,0.000410409,0.000410409,0.000410409
38,3212.58,2e-05,0.33333,1,7.83564,0.000382115,0.000382115,0.000382115
39,3297.5,2e-05,0.33333,1,7.90077,0.00035382,0.00035382,0.00035382
40,3384.7,2e-05,0.33333,1,7.95654,0.000325526,0.000325526,0.000325526
41,3470.29,2e-05,0.33333,1,7.90792,0.000297232,0.000297232,0.000297232
42,3553.92,2e-05,0.33333,1,7.91075,0.000268938,0.000268938,0.000268938
1,77.2102,0.66205,0.33333,1,1.7068,0.00020006,0.00020006,0.00020006
2,147.626,0.08859,0.33333,1,3.63278,0.000406205,0.000406205,0.000406205
3,215.568,0.0085,0.33333,1,5.79404,0.000603861,0.000603861,0.000603861
4,284.606,0.00106,0.33333,1,6.48603,0.000793029,0.000793029,0.000793029
5,353.746,0.00038,0.33333,1,6.81902,0.000973709,0.000973709,0.000973709
6,421.013,0.00014,0.33333,1,7.16786,0.0011459,0.0011459,0.0011459
7,487.808,9e-05,0.33333,1,7.33831,0.00125923,0.00125923,0.00125923
8,553.935,6e-05,0.33333,1,7.43003,0.00123094,0.00123094,0.00123094
9,620.24,4e-05,0.33333,1,7.55648,0.00120265,0.00120265,0.00120265
10,685.963,4e-05,0.33333,1,7.64536,0.00117435,0.00117435,0.00117435
11,753.945,3e-05,0.33333,1,7.8063,0.00114606,0.00114606,0.00114606
12,821.091,3e-05,0.33333,1,7.58469,0.00111776,0.00111776,0.00111776
13,887.791,4e-05,0.33333,1,7.77261,0.00108947,0.00108947,0.00108947
14,955.145,3e-05,0.33333,1,7.73794,0.00106118,0.00106118,0.00106118
15,1022.64,3e-05,0.33333,1,7.98465,0.00103288,0.00103288,0.00103288
16,1089.94,3e-05,0.33333,1,7.8261,0.00100459,0.00100459,0.00100459
17,1157.28,3e-05,0.33333,1,7.82394,0.000976293,0.000976293,0.000976293
18,1224.64,2e-05,0.33333,1,7.9449,0.000947999,0.000947999,0.000947999
19,1292.22,2e-05,0.33333,1,7.92929,0.000919704,0.000919704,0.000919704
20,1360.47,3e-05,0.33333,1,7.82581,0.00089141,0.00089141,0.00089141
21,1428.35,3e-05,0.33333,1,7.84839,0.000863116,0.000863116,0.000863116
22,1496.66,3e-05,0.33333,1,7.95827,0.000834822,0.000834822,0.000834822
23,1563.52,3e-05,0.33333,1,7.86899,0.000806528,0.000806528,0.000806528
24,1629.7,4e-05,0.33333,1,7.92549,0.000778233,0.000778233,0.000778233
25,1696.35,3e-05,0.33333,1,7.89873,0.000749939,0.000749939,0.000749939
26,1762.56,2e-05,0.33333,1,7.85239,0.000721645,0.000721645,0.000721645
27,1828.85,3e-05,0.33333,1,7.98544,0.000693351,0.000693351,0.000693351
28,1894.94,2e-05,0.33333,1,7.70189,0.000665057,0.000665057,0.000665057
29,1961.23,3e-05,0.33333,1,7.944,0.000636762,0.000636762,0.000636762
30,2027.79,2e-05,0.33333,1,8.05052,0.000608468,0.000608468,0.000608468
31,2093.8,2e-05,0.33333,1,8.05023,0.000580174,0.000580174,0.000580174
32,2159.49,3e-05,0.33333,1,7.87787,0.00055188,0.00055188,0.00055188
33,2225.36,2e-05,0.33333,1,7.8888,0.000523586,0.000523586,0.000523586
34,2291.36,2e-05,0.33333,1,7.95447,0.000495291,0.000495291,0.000495291
35,2357.25,2e-05,0.33333,1,7.95227,0.000466997,0.000466997,0.000466997
36,2424.64,3e-05,0.33333,1,7.65955,0.000438703,0.000438703,0.000438703
37,2492.46,2e-05,0.33333,1,7.88603,0.000410409,0.000410409,0.000410409
38,2560.35,2e-05,0.33333,1,7.83564,0.000382115,0.000382115,0.000382115
39,2629.4,2e-05,0.33333,1,7.90077,0.00035382,0.00035382,0.00035382
40,2698.69,2e-05,0.33333,1,7.95654,0.000325526,0.000325526,0.000325526
41,2767.47,2e-05,0.33333,1,7.90792,0.000297232,0.000297232,0.000297232
42,2835.81,2e-05,0.33333,1,7.91075,0.000268938,0.000268938,0.000268938
43,2904.33,2e-05,0.33333,1,8.02069,0.000240644,0.000240644,0.000240644
44,2971.77,2e-05,0.33333,1,7.82807,0.000212349,0.000212349,0.000212349
45,3038.49,2e-05,0.33333,1,7.97646,0.000184055,0.000184055,0.000184055
46,3105.23,2e-05,0.33333,1,7.88715,0.000155761,0.000155761,0.000155761
47,3171.7,2e-05,0.33333,1,8.03096,0.000127467,0.000127467,0.000127467
48,3237.78,4e-05,0.33333,1,7.93955,9.91726e-05,9.91726e-05,9.91726e-05
49,3303.64,2e-05,0.33333,1,7.99446,7.08784e-05,7.08784e-05,7.08784e-05
50,3369.47,2e-05,0.33333,1,7.96268,4.25842e-05,4.25842e-05,4.25842e-05
