epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.5818,4.69952,0.904,1,0.45847,0.00020006,0.00020006,0.00020006
2,34.437,2.05726,0.91733,1,0.28829,0.000406205,0.000406205,0.000406205
3,52.0253,0.29214,0.824,1,0.77883,0.000603861,0.000603861,0.000603861
4,68.6844,0.00969,0.65467,1,1.8599,0.000793029,0.000793029,0.000793029
5,85.5047,0.0054,0.452,1,3.34047,0.000973709,0.000973709,0.000973709
6,102.474,0.00236,0.38,1,4.52717,0.0011459,0.0011459,0.0011459
7,119.007,0.00112,0.352,1,5.08964,0.00125923,0.00125923,0.00125923
8,135.799,0.00068,0.33733,1,5.74586,0.00123094,0.00123094,0.00123094
9,152.833,0.00035,0.33467,1,5.85708,0.00120265,0.00120265,0.00120265
10,169.896,0.00032,0.33467,1,6.47648,0.00117435,0.00117435,0.00117435
11,186.716,0.00016,0.33333,1,6.54319,0.00114606,0.00114606,0.00114606
12,203.849,0.00037,0.33333,1,6.20211,0.00111776,0.00111776,0.00111776
13,220.992,0.00037,0.33333,1,6.47405,0.00108947,0.00108947,0.00108947
14,238.44,0.00018,0.33333,1,6.64107,0.00106118,0.00106118,0.00106118
15,255.756,0.00013,0.33333,1,6.80526,0.00103288,0.00103288,0.00103288
16,272.906,0.00018,0.33333,1,6.30072,0.00100459,0.00100459,0.00100459
17,289.733,0.0005,0.33333,1,6.63393,0.000976293,0.000976293,0.000976293
18,306.999,0.00036,0.33333,1,6.4184,0.000947999,0.000947999,0.000947999
19,324.19,0.00016,0.33333,1,6.64839,0.000919704,0.000919704,0.000919704
20,340.9,0.00041,0.33333,1,7.35868,0.00089141,0.00089141,0.00089141
21,358.103,0.00017,0.33333,1,6.63697,0.000863116,0.000863116,0.000863116
22,375.174,7e-05,0.33333,1,6.87762,0.000834822,0.000834822,0.000834822
23,392.034,0.00026,0.33333,1,7.04239,0.000806528,0.000806528,0.000806528
24,409.72,0.0004,0.33333,1,6.80372,0.000778233,0.000778233,0.000778233
25,426.829,0.00026,0.33333,1,6.46809,0.000749939,0.000749939,0.000749939
26,443.777,0.0003,0.33333,1,6.5667,0.000721645,0.000721645,0.000721645
27,461.449,3e-05,0.33333,1,6.63389,0.000693351,0.000693351,0.000693351
28,478.906,0.00015,0.33333,1,7.34976,0.000665057,0.000665057,0.000665057
29,495.88,0.00012,0.33333,1,6.94934,0.000636762,0.000636762,0.000636762
30,513.491,0.00016,0.33333,1,6.79809,0.000608468,0.000608468,0.000608468
31,530.828,5e-05,0.33333,1,6.61543,0.000580174,0.000580174,0.000580174
32,547.599,0.00012,0.33333,1,6.73726,0.00055188,0.00055188,0.00055188
33,564.885,6e-05,0.33333,1,6.51321,0.000523586,0.000523586,0.000523586
34,582.506,0.00014,0.33333,1,6.65218,0.000495291,0.000495291,0.000495291
35,599.582,6e-05,0.33333,1,6.57573,0.000466997,0.000466997,0.000466997
36,617.702,9e-05,0.33333,1,7.30329,0.000438703,0.000438703,0.000438703
37,634.864,0.00026,0.33333,1,6.84663,0.000410409,0.000410409,0.000410409
38,652.033,0.00065,0.33333,1,7.0147,0.000382115,0.000382115,0.000382115
39,669.108,5e-05,0.33333,1,6.97783,0.00035382,0.00035382,0.00035382
40,686.656,3e-05,0.33333,1,7.05556,0.000325526,0.000325526,0.000325526
41,704.227,0.00022,0.33333,1,6.83223,0.000297232,0.000297232,0.000297232
42,722.641,4e-05,0.33333,1,6.93657,0.000268938,0.000268938,0.000268938
43,740.28,0.0001,0.33333,1,6.80266,0.000240644,0.000240644,0.000240644
44,758.079,0.00016,0.33333,1,6.73645,0.000212349,0.000212349,0.000212349
45,775.878,5e-05,0.33333,1,6.75196,0.000184055,0.000184055,0.000184055
46,792.993,5e-05,0.33333,1,6.57694,0.000155761,0.000155761,0.000155761
47,812.559,2e-05,0.33333,1,6.73745,0.000127467,0.000127467,0.000127467
48,829.224,3e-05,0.33333,1,6.5239,9.91726e-05,9.91726e-05,9.91726e-05
49,846.102,3e-05,0.33333,1,6.69597,7.08784e-05,7.08784e-05,7.08784e-05
50,866.602,0.00012,0.33333,1,7.03368,4.25842e-05,4.25842e-05,4.25842e-05
